rt	fw	dw
22.6	4.546	1.969
23.3	3.9736	1.9361
20.4	2.7418	1.2484
16.1	1.2294	0.6544
5.3	0.0517	0.0192
8.6	0.2451	0.089
6.4	0.0666	0.035
12	0.7244	0.3478
10.2	0.3076	0.1727
9.1	0.2695	0.1075
5.6	0.0542	0.0264
6.7	0.1503	0.0703
11.8	0.5401	0.265
6.3	0.0606	0.032
12.5	0.6044	0.3285
22.1	4.2801	2.0806
22	2.998	1.34
23.6	4.0891	1.9466
12.5	0.6288	0.3443
12.7	0.7033	0.335
23.2	4.283	1.9717
17.1	1.7436	0.8875
13.7	0.8143	0.4479
19	2.799	1.1928
21	3.5544	1.433
19.7	2.3754	1.2118
16.9	1.4616	0.793
16.5	1.3355	0.7651
13.4	0.7357	0.4093
18.2	2.3519	1.1182
16.9	1.7219	0.8955
8.2	0.2234	0.1085
9.1	0.267	0.1536
8.8	0.2064	0.1067
9.8	0.339	0.187
12.2	0.6597	0.3363
17.9	1.7658	0.9505
21	3.3196	1.7711
15.9	1.4787	0.7842
18.5	1.8774	1.0093
21.7	3.5764	1.8335
15.3	1.5178	0.602
19.6	2.7312	1.204
15.7	1.4393	0.6839
14	0.9779	0.4762
13.2	0.7476	0.4275
10.2	0.3585	0.1711
7.6	0.1748	0.0716
6.7	0.1304	0.0628
6.6	0.1138	0.0624
11.7	0.5535	0.2807
9.6	0.3284	0.1459
8.6	0.2351	0.1178
9.6	0.3538	0.1479
14.1	0.9286	0.4698
11	0.4933	0.2752
13.8	0.9809	0.5623
19	2.2035	1.08
16.8	1.4901	0.7809
22.3	3.3057	1.7834
22.8	3.3214	1.7858
20.3	2.499	1.3256
22.2	3.2242	1.5516
20.9	2.4619	1.2902
13.6	0.8274	0.4005
6.5	0.1125	0.0525
5.5	0.0724	0.0311
5	0.037	0.0171
5.4	0.0666	0.0278
5.1	0.0527	0.0233
6.2	0.0722	0.038
8	0.1365	0.0762
9.1	0.2489	0.1054
7.7	0.1792	0.087
5.7	0.0651	0.0284
10.4	0.3429	0.175
8.9	0.2196	0.1027
13.5	0.707	0.3627
16	1.2474	0.6213
21.1	3.28	1.6293
16.9	1.4341	0.7768
21.6	3.7549	1.8031
21	3.3489	1.7242
22	3.4051	1.8575
16.4	1.5069	0.7932
13.4	0.6398	0.3047
18	2.0494	1.1245
19.5	2.658	1.424
13.4	0.7884	0.4043
8	0.1725	0.0835
