F         RC        PS
         1       4.8     0.030
         2       4.8     0.030
         2       4.8     0.030
         2       4.8     0.030
         2       4.8     0.030
         1       4.8     0.040
         2       4.8     0.040
         2       4.8     0.040
         1       4.8     0.040
         2       4.8     0.040
         1       4.8     0.040
         1       4.8     0.040
         2       4.8     0.040
         2       4.8     0.050
         1       4.9     0.020
         2       4.9     0.020
         2       4.9     0.020
         1       4.9     0.020
         1       4.9     0.020
         2       4.9     0.020
         1       4.9     0.020
         1       4.9     0.020
         2       4.9     0.020
         2       4.9     0.020
         1       4.9     0.020
         1       4.9     0.020
         1       4.9     0.020
         2       4.9     0.020
         2       4.9     0.020
         1       4.9     0.020
         2       4.9     0.020
         1       4.9     0.030
         1       4.9     0.030
         1       4.9     0.030
         1       4.9     0.030
         2       4.9     0.030
         1       4.9     0.030
         1       4.9     0.030
         1       4.9     0.030
         1       4.9     0.030
         2       4.9     0.030
         2       4.9     0.030
         2       4.9     0.030
         1       4.9     0.030
         1       4.9     0.030
         1       4.9     0.030
         1       4.9     0.030
         1       4.9     0.030
         1       4.9     0.030
         2       4.9     0.030
         2       4.9     0.030
         2       4.9     0.030
         2       4.9     0.030
         2       4.9     0.030
         2       4.9     0.030
         1       4.9     0.030
         1       4.9     0.030
         2       4.9     0.030
         2       4.9     0.030
         2       4.9     0.030
         2       4.9     0.030
         2       4.9     0.030
         1       4.9     0.030
         1       4.9     0.030
         1       4.9     0.030
         1       4.9     0.030
         1       4.9     0.030
         2       4.9     0.030
         2       4.9     0.030
         2       4.9     0.030
         1       4.9     0.040
         2       4.9     0.040
         2       4.9     0.040
         2       4.9     0.040
         1       4.9     0.040
         2       4.9     0.040
         1       4.9     0.040
         1       4.9     0.040
         2       4.9     0.050
         1       5.0     0.010
         1       5.0     0.020
         2       5.0     0.020
         1       5.0     0.020
         2       5.0     0.020
         2       5.0     0.020
         2       5.0     0.020
         1       5.0     0.020
         1       5.0     0.020
         1       5.0     0.020
         1       5.0     0.020
         1       5.0     0.020
         1       5.0     0.020
         1       5.0     0.020
         1       5.0     0.030
         1       5.0     0.030
         1       5.0     0.030
         1       5.0     0.030
         2       5.0     0.030
         2       5.0     0.030
         2       5.0     0.030
         2       5.0     0.030
         2       5.0     0.030
         2       5.0     0.030
         1       5.0     0.030
         1       5.0     0.030
         1       5.0     0.030
         2       5.0     0.030
         2       5.0     0.030
         2       5.0     0.030
         2       5.0     0.030
         1       5.0     0.030
         1       5.0     0.030
         1       5.0     0.030
         1       5.0     0.030
         1       5.0     0.030
         1       5.0     0.030
         2       5.0     0.030
         2       5.0     0.030
         2       5.0     0.030
         1       5.0     0.030
         1       5.0     0.030
         1       5.0     0.030
         1       5.0     0.030
         1       5.0     0.030
         2       5.0     0.030
         2       5.0     0.030
         2       5.0     0.030
         1       5.0     0.030
         1       5.0     0.030
         1       5.0     0.030
         1       5.0     0.030
         1       5.0     0.030
         2       5.0     0.030
         2       5.0     0.030
         2       5.0     0.030
         2       5.0     0.040
         2       5.0     0.040
         2       5.0     0.040
         1       5.0     0.040
         1       5.0     0.040
         2       5.0     0.040
         2       5.0     0.040
         1       5.0     0.040
         1       5.0     0.040
         2       5.0     0.040
         2       5.0     0.040
         1       5.0     0.040
         1       5.0     0.040
         2       5.0     0.040
         2       5.0     0.040
         2       5.0     0.050
         2       5.0     0.060
         1       5.1     0.020
         1       5.1     0.020
         2       5.1     0.020
         1       5.1     0.030
         1       5.1     0.030
         1       5.1     0.030
         1       5.1     0.030
         1       5.1     0.030
         2       5.1     0.030
         2       5.1     0.030
         2       5.1     0.030
         2       5.1     0.030
         2       5.1     0.030
         1       5.1     0.030
         1       5.1     0.030
         2       5.1     0.030
         2       5.1     0.030
         2       5.1     0.030
         2       5.1     0.030
         1       5.1     0.030
         1       5.1     0.030
         1       5.1     0.030
         2       5.1     0.030
         1       5.1     0.030
         1       5.1     0.030
         1       5.1     0.030
         1       5.1     0.030
         1       5.1     0.030
         2       5.1     0.030
         2       5.1     0.030
         2       5.1     0.030
         2       5.1     0.030
         2       5.1     0.030
         2       5.1     0.030
         2       5.1     0.030
         1       5.1     0.030
         1       5.1     0.030
         1       5.1     0.030
         2       5.1     0.030
         2       5.1     0.030
         2       5.1     0.030
         1       5.1     0.040
         1       5.1     0.040
         1       5.1     0.040
         1       5.1     0.040
         1       5.1     0.040
         2       5.1     0.040
         1       5.1     0.040
         1       5.1     0.040
         2       5.1     0.040
         2       5.1     0.040
         1       5.1     0.040
         1       5.1     0.040
         1       5.1     0.040
         2       5.1     0.040
         2       5.1     0.040
         2       5.1     0.040
         2       5.1     0.040
         1       5.1     0.040
         2       5.1     0.040
         1       5.1     0.040
         1       5.1     0.040
         1       5.1     0.040
         2       5.1     0.040
         1       5.1     0.050
         1       5.1     0.050
         1       5.1     0.050
         1       5.1     0.060
         1       5.2     0.020
         2       5.2     0.020
         1       5.2     0.020
         2       5.2     0.020
         1       5.2     0.020
         1       5.2     0.020
         1       5.2     0.030
         1       5.2     0.030
         1       5.2     0.030
         1       5.2     0.030
         1       5.2     0.030
         2       5.2     0.030
         2       5.2     0.030
         2       5.2     0.030
         1       5.2     0.030
         1       5.2     0.030
         1       5.2     0.030
         2       5.2     0.030
         1       5.2     0.030
         1       5.2     0.030
         1       5.2     0.030
         1       5.2     0.030
         1       5.2     0.030
         1       5.2     0.030
         1       5.2     0.030
         1       5.2     0.030
         1       5.2     0.030
         2       5.2     0.030
         2       5.2     0.030
         1       5.2     0.030
         1       5.2     0.030
         2       5.2     0.030
         2       5.2     0.030
         2       5.2     0.030
         1       5.2     0.030
         2       5.2     0.030
         1       5.2     0.040
         1       5.2     0.040
         2       5.2     0.040
         2       5.2     0.040
         2       5.2     0.040
         1       5.2     0.040
         1       5.2     0.040
         1       5.2     0.040
         2       5.2     0.040
         1       5.2     0.040
         2       5.2     0.040
         2       5.2     0.040
         1       5.2     0.040
         2       5.2     0.040
         2       5.2     0.040
         1       5.2     0.040
         1       5.2     0.040
         1       5.2     0.040
         1       5.2     0.040
         1       5.2     0.050
         1       5.2     0.050
         1       5.2     0.050
         2       5.2     0.050
         1       5.2     0.050
         1       5.2     0.050
         1       5.2     0.060
         2       5.2     0.060
         1       5.3     0.020
         1       5.3     0.030
         1       5.3     0.030
         1       5.3     0.030
         1       5.3     0.030
         1       5.3     0.030
         2       5.3     0.030
         2       5.3     0.030
         2       5.3     0.030
         2       5.3     0.030
         1       5.3     0.030
         1       5.3     0.030
         2       5.3     0.030
         1       5.3     0.030
         1       5.3     0.030
         1       5.3     0.030
         2       5.3     0.030
         2       5.3     0.030
         2       5.3     0.030
         1       5.3     0.030
         1       5.3     0.030
         1       5.3     0.030
         1       5.3     0.030
         2       5.3     0.030
         2       5.3     0.030
         2       5.3     0.030
         2       5.3     0.030
         2       5.3     0.030
         1       5.3     0.030
         1       5.3     0.030
         1       5.3     0.030
         1       5.3     0.030
         2       5.3     0.030
         2       5.3     0.030
         2       5.3     0.030
         2       5.3     0.030
