              f               x               p             lip             lsp             bip             bsp              p1            lip1            lsp1            bip1            bsp1              p2            lip2            lsp2            bip2            bsp2
      2.0000000       6.3525253       0.0630219       0.0624773       0.0637993       0.0622254       0.0638185       0.0283508       0.0282068       0.0285413       0.0281517       0.0285499       0.0082908       0.0082385       0.0083358       0.0082345       0.0083471
      2.0000000       6.5868687       0.0698958       0.0693239       0.0707104       0.0690560       0.0707356       0.0303243       0.0301759       0.0305099       0.0301260       0.0305227       0.0085525       0.0084930       0.0086022       0.0084902       0.0086148
      2.0000000       6.8212121       0.0772393       0.0766415       0.0780889       0.0763574       0.0781212       0.0323591       0.0322047       0.0325376       0.0321613       0.0325569       0.0088128       0.0087461       0.0088674       0.0087442       0.0088815
      2.0000000       7.0555556       0.0850668       0.0844449       0.0859487       0.0841441       0.0859896       0.0344547       0.0342946       0.0346326       0.0342571       0.0346523       0.0090719       0.0089990       0.0091314       0.0089966       0.0091471
      2.0000000       7.2898990       0.0933925       0.0927484       0.0943105       0.0924304       0.0943547       0.0366109       0.0364450       0.0367926       0.0364125       0.0368092       0.0093297       0.0092504       0.0093942       0.0092476       0.0094118
      2.0000000       7.5242424       0.1022306       0.1015630       0.1031865       0.1012305       0.1032306       0.0388273       0.0386559       0.0390125       0.0386269       0.0390277       0.0095864       0.0095005       0.0096560       0.0094972       0.0096755
      2.0000000       7.7585859       0.1115951       0.1108937       0.1125867       0.1105588       0.1126313       0.0411038       0.0409269       0.0412921       0.0408997       0.0413079       0.0098419       0.0097494       0.0099166       0.0097455       0.0099383
      2.0000000       7.9929293       0.1215000       0.1207654       0.1225250       0.1204292       0.1225708       0.0434400       0.0432577       0.0436310       0.0432300       0.0436500       0.0100963       0.0099971       0.0101763       0.0099925       0.0102001
      2.0000000       8.2272727       0.1319595       0.1311921       0.1330139       0.1308558       0.1330632       0.0458357       0.0456482       0.0460288       0.0456173       0.0460541       0.0103497       0.0102435       0.0104349       0.0102383       0.0104611
      2.0000000       8.4616162       0.1429873       0.1421880       0.1440672       0.1418522       0.1441223       0.0482907       0.0480982       0.0484900       0.0480611       0.0485203       0.0106021       0.0104880       0.0106934       0.0104830       0.0107211
      2.0000000       8.6959596       0.1545973       0.1537669       0.1557008       0.1534322       0.1557624       0.0508047       0.0506129       0.0510044       0.0505608       0.0510486       0.0108534       0.0107315       0.0109510       0.0107265       0.0109803
      2.0000000       8.9303030       0.1668033       0.1659444       0.1679502       0.1656094       0.1679973       0.0533775       0.0531685       0.0535796       0.0531162       0.0536388       0.0111038       0.0109740       0.0112077       0.0109690       0.0112386
      2.0000000       9.1646465       0.1796192       0.1787270       0.1807807       0.1783970       0.1808414       0.0560088       0.0557760       0.0562243       0.0557269       0.0562907       0.0113533       0.0112154       0.0114635       0.0112104       0.0114962
      2.0000000       9.3989899       0.1930585       0.1921172       0.1942255       0.1918083       0.1943087       0.0586985       0.0584389       0.0589326       0.0583929       0.0590042       0.0116018       0.0114559       0.0117185       0.0114507       0.0117529
