         f          x          y
    2.0000     4.7000     0.0300
    2.0000     4.7000     0.0300
    2.0000     4.7000     0.0300
    1.0000     4.7000     0.0400
    1.0000     4.7000     0.0400
    1.0000     4.7000     0.0400
    1.0000     4.7000     0.0400
    1.0000     4.7000     0.0500
    1.0000     4.7000     0.0500
    2.0000     4.7000     0.0500
    1.0000     4.8000     0.0200
    2.0000     4.8000     0.0200
    1.0000     4.8000     0.0200
    1.0000     4.8000     0.0200
    1.0000     4.8000     0.0200
    1.0000     4.8000     0.0200
    1.0000     4.8000     0.0200
    1.0000     4.8000     0.0200
    1.0000     4.8000     0.0200
    1.0000     4.8000     0.0200
    1.0000     4.8000     0.0200
    1.0000     4.8000     0.0200
    2.0000     4.8000     0.0200
    1.0000     4.8000     0.0200
    1.0000     4.8000     0.0200
    1.0000     4.8000     0.0200
    1.0000     4.8000     0.0200
    2.0000     4.8000     0.0200
    2.0000     4.8000     0.0200
    2.0000     4.8000     0.0200
    1.0000     4.8000     0.0200
    1.0000     4.8000     0.0200
    1.0000     4.8000     0.0200
    1.0000     4.8000     0.0200
    1.0000     4.8000     0.0300
    1.0000     4.8000     0.0300
    1.0000     4.8000     0.0300
    1.0000     4.8000     0.0300
    2.0000     4.8000     0.0300
    2.0000     4.8000     0.0300
    2.0000     4.8000     0.0300
    2.0000     4.8000     0.0300
    1.0000     4.8000     0.0300
    1.0000     4.8000     0.0300
    2.0000     4.8000     0.0300
    1.0000     4.8000     0.0300
    2.0000     4.8000     0.0300
    1.0000     4.8000     0.0300
    1.0000     4.8000     0.0300
    1.0000     4.8000     0.0300
    1.0000     4.8000     0.0300
    2.0000     4.8000     0.0300
    2.0000     4.8000     0.0300
    2.0000     4.8000     0.0300
    1.0000     4.8000     0.0300
    2.0000     4.8000     0.0300
    2.0000     4.8000     0.0300
    2.0000     4.8000     0.0300
    2.0000     4.8000     0.0300
    1.0000     4.8000     0.0400
    2.0000     4.8000     0.0400
    2.0000     4.8000     0.0400
    1.0000     4.8000     0.0400
    2.0000     4.8000     0.0400
    1.0000     4.8000     0.0400
    1.0000     4.8000     0.0400
    2.0000     4.8000     0.0400
    2.0000     4.8000     0.0500
    1.0000     4.9000     0.0200
    2.0000     4.9000     0.0200
    2.0000     4.9000     0.0200
    1.0000     4.9000     0.0200
    1.0000     4.9000     0.0200
    2.0000     4.9000     0.0200
    1.0000     4.9000     0.0200
    1.0000     4.9000     0.0200
    2.0000     4.9000     0.0200
    2.0000     4.9000     0.0200
    1.0000     4.9000     0.0200
    1.0000     4.9000     0.0200
    1.0000     4.9000     0.0200
    2.0000     4.9000     0.0200
    2.0000     4.9000     0.0200
    1.0000     4.9000     0.0200
    2.0000     4.9000     0.0200
